code,name
,
大立光,3008
矽力-KY,6415
精測,6510
信驊,5274
旭隼,6409
和泰車,2207
祥碩,5269
譜瑞-KY,4966
緯穎,6669
精華,1565
亞德客-KY,1590
寶雅,5904
聯發科,2454
玉晶光,3406
儒鴻,1476
川湖,2059
鈊象,3293
國巨,2327
環球晶,6488
M31,6643
力旺,3529
大江,8436
統一超,2912
台積電,2330
研華,2395
新普,6121
嘉澤,3533
璟德,3152
穩懋,3105
裕日車,2227
群聯,8299
牧德,3563
富邦媒,8454
瓦城,2729
億豐,8464
數字,5287
上銀,2049
創意,3443
樺漢,6414
聯亞,3081
可成,2474
鼎翰,3611
日友,8341
為升,2231
大地-KY,8437
麗豐-KY,4137
華碩,2357
神盾,6462
瑞昱,2379
,
德麥,1264
貿聯-KY,3665
全家,5903
聯詠,3034
巨大,9921
是方,6561
超眾,6230
鮮活果汁-KY,1256
弘塑,3131
金可-KY,8406
康友-KY,6452
世芯-KY,3661
雙鴻,3324
崑鼎,6803
耕興,6146
豐泰,9910
葡萄王,1707
雍智科技,6683
柏文,8462
健策,3653
宏觀,6568
家登,3680
昂寶-KY,4947
倉和,6538
復盛應用,6670
羅麗芬-KY,6666
聖暉,5536
長華,8070
華新科,2492
漢唐,2404
晶碩,6491
智崴,5263
美利達,9914
智伸科,4551
晶華,2707
立積,4968
康控-KY,4943
矽創,8016
醫揚,6569
一零四,3130
保瑞,6472
京鼎,3413
勝麗,6238
南寶,4766
智邦,2345
鈺太科技,6679
美律,2439
可寧衛,8422
朋億,6613
六角,2732
,
宜鼎,5289
聚陽,1477
統新,6426
廣越,4438
廣隆,1537
瑞穎,8083
聯茂,6213
台達電,2308
致茂,2360
泰昇-KY,8480
商億-KY,8482
浩鼎,4174
中租-KY,5871
漢來美食,1268
台燿,6274
臻鼎-KY,4958
伸興,1558
中裕,4147
鐿鈦,4163
訊芯-KY,6451
尚凡,5278
同欣電,6271
南六,6504
邦特,4107
原相,3227
晶心科,6533
三貝德,8489
鈺齊-KY,9802
駐龍,4572
拓凱,4536
泰博,4736
豐祥-KY,5288
華研,8446
神準,3558
大統益,1232
美食-KY,2723
茂林-KY,4935
中碳,1723
健鼎,3044
台光電,2383
新日興,3376
致新,8081
安碁資訊,6690
生展,8279
瑞儀,6176
全新,2455
信邦,3023
裕融,9941
台灣大,3045
材料-KY,4763
,
台數科,6464
實威,8416
網家,8044
聯德控股-KY,4912
誠品生活,2926
中華電,2412
碩禾,3691
聚積,3527
VHQ-KY,4803
杰力,5299
碩天,3617
和大,1536
台表科,6278
訊連,5203
藥華藥,6446
劍麟,2228
旭富,4119
豆府,2752
台郡,6269
美時,1795
台勝科,3532
新麥,1580
凱羿-KY,2939
GIS-KY,6456
宏捷科,8086
大中,6435
BP上證50,008201
杏昌,1788
勤崴,6516
桂盟,5306
鼎炫-KY,8499
佐登-KY,4190
緯軟,4953
眾達-KY,4977
奇力新,2456
禾伸堂,3026
振樺電,8114
智基,6294
崇越,5434
禾聯碩,5283
豐達科,3004
台塑,1301
大宇資,6111
台塑化,6505
智易,3596
力成,6239
瑞祺電通,6416
英利-KY,2239
華固,2548
興勤,2428
,
霈方,6574
奈米醫材,6612
朋程,8255
元大台灣50,0050
騰輝電子-KY,6672
大塚,3570
震旦行,2373
晶焱,6411
泰碩,3338
晶睿,3454
中華食,4205
喬山,1736
勝一,1773
博智,8155
昇達科,3491
晶相光,3530
皇田,9951
群光,2385
鴻海,2317
宇峻,3546
新鉅科,3630
義隆,2458
寶齡富錦,1760
中保,9917
台化,1326
直得,1597
中美晶,5483
宏正,6277
信錦,1582
西柏,3541
淘帝-KY,2929
鋼聯,6581
桓達,4549
閎康,3587
雙美,4728
易華電,6552
東洋,4105
微星,2377
達興材料,5234
生泰,1777
鑫永銓,2114
大銀微系統,4576
信紘科,6667
大樹,6469
傳奇,4994
勤誠,8210
友通,2397
長虹,5534
迅得,6438
上緯投控,3708
,
王品,2727
智冠,5478
東生華,8432
宣德,5457
太醫,4126
揚明光,3504
聰泰,5474
兆利,3548
網龍,3083
華廣,4737
達爾膚,6523
大車隊,2640
三圓,4416
台微體,4152
百和,9938
凡甲,3526
亞光,3019
華擎,3515
雄獅,2731
安心,1259
安勤,3479
茂達,6138
日月光投控,3711
潤泰全,2915
力山,1515
中磊,5388
來思達,8066
精誠,6214
帆宣,6196
啟碁,6285
波力-KY,8467
互動,6486
科妍,1786
博大,8109
遠傳,4904
慧智,6615
南亞科,2408
胡連,6279
統一,1216
杏一,4175
創見,2451
世界,5347
研揚,6579
巨路,6192
康普,4739
世德,2066
花仙子,1730
世紀鋼,9958
南亞,1303
鈞興-KY,4571
芮特-KY,6514
,
安成藥,4180
美吉吉-KY,8466
飛捷,6206
旭暉應材,6698
興能高,6558
智擎,4162
永新-KY,4557
中揚光,6668
寬宏藝術,6596
永記,1726
茂順,9942
好樂迪,9943
和碩,4938
科嘉-KY,5215
良維,6290
宇隆,2233
崇越電,3388
大學光,3218
環宇-KY,4991
同致,3552
美琪瑪,4721
中砂,1560
佳格,1227
昇陽半導體,8028
隆中,6542
寶島科,5312
森鉅,8942
盛群,6202
力致,3483
優群,3217
雙鍵,4764
旺矽,6223
鴻準,2354
富邦科技,0052
勁豐,6577
全國電,6281
地心引力,3629
聚鼎,6224
政伸,8481
卜蜂,1215
卓越,2496
中信乙特,2891B 
IET-KY,4971
韋僑,6417
基士德-KY,6641
群翊,6664
富邦特,2881A
捷敏-KY,6525
綠河-KY,8444
精材,3374
,
普萊德,6263
科際精密,4568
愛普,6531
大億,1521
新至陞,3679
鑫創電子,6680
龍巖,5530
富邦乙特,2881B
國泰特,2882A
國泰乙特,2882B
廣華-KY,1338
撼訊,6150
